Course Title,Instructors,Course Subject,Total Course Hours (Thousands),Course_Level,Pre_Requirement,Course_Price,Placement_Opportunity,Course_Relevancy,Expected_Package,EMI_Available,Financial_Aid,Offer_Certificate,soup
A New National Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",34.82,Advanced,No Prerequisite,100.0,Yes,2014,21,Yes,Yes,Yes,"""Title"": A New National Culture, ""Level"": Advanced, ""Price"": 100.0, ""Duration"": 34.82, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
HarvardX for Alumni: Explorations in Learning,Rob Lue,"Humanities, History, Design, Religion, and Education",7.23,Advanced,No Prerequisite,175.0,No,2014,4,No,Yes,No,"""Title"": HarvardX for Alumni: Explorations in Learning, ""Level"": Advanced, ""Price"": 175.0, ""Duration"": 7.23, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": No, ""Metadata"": Humanities, History, Design, Religion, and Education"
Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",27.85,Advanced,No Prerequisite,400.0,Yes,2014,17,No,No,Yes,"""Title"": Innovating in Health Care, ""Level"": Advanced, ""Price"": 400.0, ""Duration"": 27.85, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",46.04,Advanced,No Prerequisite,200.0,No,2014,20,No,No,Yes,"""Title"": Evaluating Social Programs, ""Level"": Advanced, ""Price"": 200.0, ""Duration"": 46.04, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Data Analysis for Genomics,Rafael Irizarry,"Government, Health, and Social Science",58.19,Advanced,No Prerequisite,0.0,Yes,2014,10,No,Yes,Yes,"""Title"": Data Analysis for Genomics, ""Level"": Advanced, ""Price"": Free, ""Duration"": 58.19, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 10 to 11 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
United States Health Policy,John McDonough,"Government, Health, and Social Science",47.9,Advanced,No Prerequisite,850.0,No,2014,24,No,Yes,Yes,"""Title"": United States Health Policy, ""Level"": Advanced, ""Price"": 850.0, ""Duration"": 47.9, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 24 to 25 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",145.01,Advanced,No Prerequisite,0.0,Yes,2014,14,No,Yes,Yes,"""Title"": Justice, ""Level"": Advanced, ""Price"": Free, ""Duration"": 145.01, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 14 to 15 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Street Fighting Math,"Sanjoy Mahajan, Isaac Chuang","Science, Technology, Engineering, and Mathematics",56.9,Advanced,No Prerequisite,0.0,Yes,2014,17,No,Yes,Yes,"""Title"": Street Fighting Math, ""Level"": Advanced, ""Price"": Free, ""Duration"": 56.9, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
From Global Empire to Global Economy,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",24.76,Advanced,No Prerequisite,0.0,No,2014,19,No,Yes,Yes,"""Title"": From Global Empire to Global Economy, ""Level"": Advanced, ""Price"": Free, ""Duration"": 24.76, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Big Data and Social Physics,Sandy Pentland,"Government, Health, and Social Science",34.79,Advanced,No Prerequisite,500.0,Yes,2014,23,Yes,Yes,Yes,"""Title"": Big Data and Social Physics, ""Level"": Advanced, ""Price"": 500.0, ""Duration"": 34.79, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",55.2,Advanced,No Prerequisite,475.0,Yes,2014,4,No,No,Yes,"""Title"": Introduction to Solid State Chemistry, ""Level"": Advanced, ""Price"": 475.0, ""Duration"": 55.2, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
The Last Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",31.69,Advanced,No Prerequisite,0.0,Yes,2014,20,No,Yes,Yes,"""Title"": The Last Empire, ""Level"": Advanced, ""Price"": Free, ""Duration"": 31.69, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Mechanics Review,David Pritchard,"Science, Technology, Engineering, and Mathematics",86.76,Advanced,No Prerequisite,0.0,Yes,2014,15,No,Yes,Yes,"""Title"": Mechanics Review, ""Level"": Advanced, ""Price"": Free, ""Duration"": 86.76, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",22.82,Advanced,No Prerequisite,0.0,Yes,2014,25,No,Yes,Yes,"""Title"": Tangible Things, ""Level"": Advanced, ""Price"": Free, ""Duration"": 22.82, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Elements of Structures,Simona Socrate,"Science, Technology, Engineering, and Mathematics",62.01,Advanced,No Prerequisite,975.0,No,2014,17,Yes,Yes,Yes,"""Title"": Elements of Structures, ""Level"": Advanced, ""Price"": 975.0, ""Duration"": 62.01, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,232.93,Advanced,No Prerequisite,0.0,Yes,2014,25,No,Yes,Yes,"""Title"": Introduction to Computer Science and Programming, ""Level"": Advanced, ""Price"": Free, ""Duration"": 232.93, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Quantitative Biology Workshop,Marry Ellen Wiltrout,"Science, Technology, Engineering, and Mathematics",39.96,Advanced,No Prerequisite,0.0,No,2014,3,No,No,Yes,"""Title"": Quantitative Biology Workshop, ""Level"": Advanced, ""Price"": Free, ""Duration"": 39.96, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",182.26,Advanced,No Prerequisite,325.0,Yes,2014,5,No,Yes,Yes,"""Title"": Introduction to Biology: Secret of Life, ""Level"": Advanced, ""Price"": 325.0, ""Duration"": 182.26, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 5 to 6 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",59.23,Advanced,No Prerequisite,0.0,Yes,2014,22,No,No,No,"""Title"": Introduction to Biology: Secret of Life, ""Level"": Advanced, ""Price"": Free, ""Duration"": 59.23, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Leaders of Learning,Richard Elmore,"Humanities, History, Design, Religion, and Education",103.05,Advanced,No Prerequisite,0.0,No,2014,17,No,Yes,Yes,"""Title"": Leaders of Learning, ""Level"": Advanced, ""Price"": Free, ""Duration"": 103.05, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Circuits and Electronics,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",129.34,Advanced,No Prerequisite,550.0,No,2014,21,No,Yes,Yes,"""Title"": Circuits and Electronics, ""Level"": Advanced, ""Price"": 550.0, ""Duration"": 129.34, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computer Science and Programming,Eric Grimson,Computer Science,206.46,Advanced,No Prerequisite,200.0,No,2014,14,Yes,No,Yes,"""Title"": Introduction to Computer Science and Programming, ""Level"": Advanced, ""Price"": 200.0, ""Duration"": 206.46, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 14 to 15 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
The Ancient Greek Hero in 24 Hours (Hours 1-5): Epic and Lyric,Gregory Nagy,"Humanities, History, Design, Religion, and Education",17.31,Advanced,No Prerequisite,625.0,No,2014,23,Yes,Yes,Yes,"""Title"": The Ancient Greek Hero in 24 Hours (Hours 1-5): Epic and Lyric, ""Level"": Advanced, ""Price"": 625.0, ""Duration"": 17.31, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",John W. Dower,"Humanities, History, Design, Religion, and Education",20.45,Advanced,No Prerequisite,0.0,Yes,2014,12,No,No,Yes,"""Title"": Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity, ""Level"": Advanced, ""Price"": Free, ""Duration"": 20.45, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Mechanical Behavior of Materials,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",81.04,Advanced,No Prerequisite,950.0,Yes,2014,17,No,No,Yes,"""Title"": Mechanical Behavior of Materials, ""Level"": Advanced, ""Price"": 950.0, ""Duration"": 81.04, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",38.86,Advanced,No Prerequisite,0.0,No,2014,3,No,No,Yes,"""Title"": Introduction to Solid State Chemistry, ""Level"": Advanced, ""Price"": Free, ""Duration"": 38.86, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Invasions, Rebellions, and the end of Imperial China","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",22.93,Advanced,No Prerequisite,0.0,Yes,2014,15,No,No,Yes,"""Title"": Invasions, Rebellions, and the end of Imperial China, ""Level"": Advanced, ""Price"": Free, ""Duration"": 22.93, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",9.36,Advanced,No Prerequisite,0.0,No,2014,25,No,No,Yes,"""Title"": Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education, ""Level"": Advanced, ""Price"": Free, ""Duration"": 9.36, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",7.68,Advanced,No Prerequisite,0.0,No,2014,12,No,No,Yes,"""Title"": Poetry in America: The Poetry of Early New England, ""Level"": Advanced, ""Price"": Free, ""Duration"": 7.68, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
The Ancient Greek Hero in 24 Hours (Hours 6-11): Signs of the Hero in Epic and Iconography,Gregory Nagy,"Humanities, History, Design, Religion, and Education",6.77,Advanced,No Prerequisite,0.0,No,2014,21,No,Yes,Yes,"""Title"": The Ancient Greek Hero in 24 Hours (Hours 6-11): Signs of the Hero in Epic and Iconography, ""Level"": Advanced, ""Price"": Free, ""Duration"": 6.77, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Unlocking the Immunity to Change: A New Approach to Personal Improvement,"Robert Kegan (Bob), Lisa Lahey","Humanities, History, Design, Religion, and Education",51.77,Advanced,No Prerequisite,900.0,No,2014,7,No,No,Yes,"""Title"": Unlocking the Immunity to Change: A New Approach to Personal Improvement, ""Level"": Advanced, ""Price"": 900.0, ""Duration"": 51.77, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Improving Global Health: Focusing on Quality and Safety,Ashish K. Jha,"Government, Health, and Social Science",40.6,Advanced,No Prerequisite,975.0,Yes,2014,10,Yes,Yes,Yes,"""Title"": Improving Global Health: Focusing on Quality and Safety, ""Level"": Advanced, ""Price"": 975.0, ""Duration"": 40.6, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 10 to 11 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Effective Field Theory,Iain Stewart,"Science, Technology, Engineering, and Mathematics",16.85,Advanced,No Prerequisite,575.0,Yes,2014,6,Yes,Yes,Yes,"""Title"": Effective Field Theory, ""Level"": Advanced, ""Price"": 575.0, ""Duration"": 16.85, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",54.46,Advanced,No Prerequisite,0.0,No,2014,19,No,No,Yes,"""Title"": A Global History of Architecture, ""Level"": Advanced, ""Price"": Free, ""Duration"": 54.46, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
AnatomyX: Musculoskeletal Cases,Trudy Van Houten,"Science, Technology, Engineering, and Mathematics",88.43,Advanced,No Prerequisite,25.0,Yes,2014,15,Yes,No,Yes,"""Title"": AnatomyX: Musculoskeletal Cases, ""Level"": Advanced, ""Price"": 25.0, ""Duration"": 88.43, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",255.4,Advanced,No Prerequisite,0.0,Yes,2014,8,No,No,Yes,"""Title"": Supply Chain and Logistics Fundamentals, ""Level"": Advanced, ""Price"": Free, ""Duration"": 255.4, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",65.35,Advanced,No Prerequisite,100.0,No,2014,23,Yes,Yes,Yes,"""Title"": Introduction to Philosophy: God, Knowledge and Consciousness, ""Level"": Advanced, ""Price"": 100.0, ""Duration"": 65.35, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Evaluating Social Programs,Rachel Glennerster,"Government, Health, and Social Science",26.71,Advanced,No Prerequisite,175.0,No,2014,16,Yes,No,Yes,"""Title"": Evaluating Social Programs, ""Level"": Advanced, ""Price"": 175.0, ""Duration"": 26.71, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Underactuated Robotics,Russ Tedrake,"Science, Technology, Engineering, and Mathematics",41.65,Advanced,No Prerequisite,600.0,No,2014,19,Yes,No,Yes,"""Title"": Underactuated Robotics, ""Level"": Advanced, ""Price"": 600.0, ""Duration"": 41.65, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
The Ancient Greek Hero in 24 Hours (Hours 12-15): Cult of Heroes,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3.2,Advanced,No Prerequisite,525.0,Yes,2014,16,No,Yes,Yes,"""Title"": The Ancient Greek Hero in 24 Hours (Hours 12-15): Cult of Heroes, ""Level"": Advanced, ""Price"": 525.0, ""Duration"": 3.2, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Design and Development of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",44.73,Advanced,No Prerequisite,625.0,Yes,2014,21,No,No,Yes,"""Title"": Design and Development of Educational Technology, ""Level"": Advanced, ""Price"": 625.0, ""Duration"": 44.73, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Creating China: The Birth of a Nation,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",23.92,Advanced,No Prerequisite,0.0,Yes,2014,22,No,Yes,Yes,"""Title"": Creating China: The Birth of a Nation, ""Level"": Advanced, ""Price"": Free, ""Duration"": 23.92, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,81.0,Advanced,No Prerequisite,0.0,No,2014,20,No,No,Yes,"""Title"": Introduction to Computational Thinking and Data Science, ""Level"": Advanced, ""Price"": Free, ""Duration"": 81.0, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
The Ancient Greek Hero in 24 Hours (Hours 16-21): The Hero in Tragedy,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3.63,Advanced,No Prerequisite,200.0,No,2014,10,No,Yes,Yes,"""Title"": The Ancient Greek Hero in 24 Hours (Hours 16-21): The Hero in Tragedy, ""Level"": Advanced, ""Price"": 200.0, ""Duration"": 3.63, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 10 to 11 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Poetry in America: Nature and Nation, American Poetry, 1700-1850",Elisa New,"Humanities, History, Design, Religion, and Education",6.58,Advanced,No Prerequisite,0.0,Yes,2014,20,No,No,Yes,"""Title"": Poetry in America: Nature and Nation, American Poetry, 1700-1850, ""Level"": Advanced, ""Price"": Free, ""Duration"": 6.58, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Game Design,Eric Klopfer,"Humanities, History, Design, Religion, and Education",50.33,Advanced,No Prerequisite,200.0,No,2014,17,Yes,Yes,Yes,"""Title"": Introduction to Game Design, ""Level"": Advanced, ""Price"": 200.0, ""Duration"": 50.33, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Saving Schools: History, Politics, and Policy in U.S. Education – Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education",3.28,Advanced,No Prerequisite,300.0,Yes,2014,6,No,No,Yes,"""Title"": Saving Schools: History, Politics, and Policy in U.S. Education – Teacher Policies, ""Level"": Advanced, ""Price"": 300.0, ""Duration"": 3.28, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
